idaction,name,hash,type,url_prefix
1,Vipani | Smart Procurement Platform for the Digital Era,1313366454,4,
2,localhost/rfq/buyer/generate-po?quoteId=1127&rfqId=1364&sellerId=91,3909166454,1,0.0
3,localhost/rfq/sellers/rfq-list,2509562998,1,0.0
4,localhost/order-management,3743773319,1,0.0
5,192.168.9.133/,876754619,1,0.0
6,ecomst.vipani.ai/e-commerce/category-two/459c02ba8fef4dabb59966e6f9e23938,2018006516,1,2.0
7,ecomst.vipani.ai/,3186163468,1,2.0
8,ecomst.vipani.ai/e-commerce/category-three/efe0bd2c212eceec598c42a15b8cd07f,1270506498,1,2.0
9,ecomst.vipani.ai/e-commerce/product-details/59232,2375147337,1,2.0
10,ecomst.vipani.ai/e-commerce/product-details/59233,4204195807,1,2.0
11,ecomst.vipani.ai/auth/login,804023253,1,2.0
12,ecomst.vipani.ai/order-management/seller-dashboard,1440061356,1,2.0
13,ecomst.vipani.ai/order-management/seller-invoice-list,39141150,1,2.0
14,ecomst.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=385&product=1251,163309871,1,2.0
15,localhost/,3676987822,1,0.0
16,localhost/order-management/sent-to-supplier?id=781&poId=781,3172965947,1,0.0
17,ecomst.vipani.ai/e-commerce/category-two/5cd256b2c3df58f1c6f1ac848995b37f,537710178,1,2.0
18,ecomst.vipani.ai/e-commerce,1003035735,1,2.0
19,ecomst.vipani.ai/auth/registration,3795984755,1,2.0
20,ecomst.vipani.ai/onBoard/onBoarding,1540747468,1,2.0
21,ecomst.vipani.ai/rfq/buyer/dashboard,335601901,1,2.0
22,localhost/order-management/sent-to-supplier-view?id=781,3768009723,1,0.0
23,ecomst.vipani.ai/prf/prf/dashboard,75533120,1,2.0
24,ecomst.vipani.ai/prf/create-prf,3518308419,1,2.0
25,ecomst.vipani.ai/prf/add-product/70,3349235636,1,2.0
26,localhost/rfq/buyer/dashboard,484588272,1,0.0
27,localhost/rfq/buyer/rfq-details/1364,4247625674,1,0.0
28,localhost/rfq/buyer/rfq-product-quote-list?rfqId=1364&product=5361,3328032598,1,0.0
29,localhost/rfq/buyer/quote-details?rfqId=1364&product=5361&quoteId=1127&seller=91,627707270,1,0.0
30,localhost/order-management/sent-to-supplier?id=828,2202967742,1,0.0
